date,hrrr_tmax,peak_cloud_cover,peak_solar_flux,peak_wind_speed,soil_moisture,snow_depth,n_hours_fetched,n_peak_hours,grid_lat,grid_lon
2026-02-01,79.75783203125005,81.0,369.1400032043457,,,0.0,18,5,33.94554697556787,-118.40164890245538
2026-02-02,73.85004394531254,0.8,380.8400001525879,,,0.0,18,5,33.94554697556787,-118.40164890245538
2026-02-03,72.24900634765629,6.0,396.0799949645996,,,0.0,18,5,33.94554697556787,-118.40164890245538
2026-02-04,85.69945800781254,0.0,406.47999877929686,,,0.0,18,5,33.94554697556787,-118.40164890245538
2026-02-05,82.73139160156254,100.0,315.64999771118164,,,0.0,18,5,33.94554697556787,-118.40164890245538
2026-02-06,67.26209228515629,39.0,368.1999984741211,,,0.0,18,4,33.94554697556787,-118.40164890245538
2026-02-07,68.04102294921879,6.6,399.5600044250488,,,0.0,18,5,33.94554697556787,-118.40164890245538
2026-02-08,80.19860351562504,1.8,412.2999923706055,,,0.0,18,5,33.94554697556787,-118.40164890245538
2026-02-09,77.94662597656254,90.8,362.9200012207031,,,0.0,18,5,33.94554697556787,-118.40164890245538
2026-02-10,62.60663574218754,100.0,62.87999954223633,,,0.0,18,5,33.94554697556787,-118.40164890245538
2026-02-11,63.03400390625004,24.6,422.1799942016602,,,0.0,18,5,33.94554697556787,-118.40164890245538
2026-02-12,64.95710571289067,73.4,422.21999130249026,,,0.0,18,5,33.94554697556787,-118.40164890245538
2026-02-13,71.5120434570313,0.2,434.50000915527346,,,0.0,18,5,33.94554697556787,-118.40164890245538
2026-02-14,66.40213745117191,100.0,387.760009765625,,,0.0,18,5,33.94554697556787,-118.40164890245538
2026-02-15,63.33360107421879,100.0,292.0199966430664,,,0.0,18,5,33.94554697556787,-118.40164890245538
2026-02-16,56.64018066406254,82.6,133.31999816894532,,,0.0,18,5,33.94554697556787,-118.40164890245538
2026-02-17,58.13454101562504,86.4,293.05999555587766,,,0.0,18,5,33.94554697556787,-118.40164890245538
2026-02-18,53.10576904296879,2.0,425.5800033569336,,,0.0,18,5,33.94554697556787,-118.40164890245538
2026-02-19,57.49250000000004,71.2,288.4,,,0.0,18,5,33.94554697556787,-118.40164890245538
2026-02-20,56.21193359375004,7.6,467.97999877929686,,,0.0,18,5,33.94554697556787,-118.40164890245538
2026-02-21,67.27961547851567,80.8,460.3999969482422,,,0.0,18,5,33.94554697556787,-118.40164890245538
2026-02-22,70.63500488281254,25.0,468.52000427246094,,,0.0,18,5,33.94554697556787,-118.40164890245538
2026-02-23,76.59140747070316,0.2,473.94000244140625,,,0.0,18,5,33.94554697556787,-118.40164890245538
2026-02-24,74.85023925781255,99.2,446.3800018310547,,,0.0,18,5,33.94554697556787,-118.40164890245538
2026-02-25,67.90797851562505,80.6,465.97999877929686,,,0.0,18,5,33.94554697556787,-118.40164890245538
2026-02-26,70.59484985351567,53.6,467.2799987792969,,,0.0,18,5,33.94554697556787,-118.40164890245538
2026-02-27,81.24257934570316,13.4,483.2800003051758,,,0.0,17,5,33.94554697556787,-118.40164890245538
2026-02-28,81.18891113281254,25.8,479.5800048828125,,,0.0,18,5,33.94554697556787,-118.40164890245538
