date,hrrr_tmax,peak_cloud_cover,peak_solar_flux,peak_wind_speed,soil_moisture,snow_depth,n_hours_fetched,n_peak_hours,grid_lat,grid_lon
2025-12-01,45.792939453125044,100.0,42.760000705718994,8.113323695990438,,0.0,18,5,30.189213002940356,-97.65983603303977
2025-12-02,54.12705810546879,1.4,395.0800064086914,4.905701375439774,,0.0,18,5,30.189213002940356,-97.65983603303977
2025-12-03,60.02232177734379,100.0,117.94000129699707,7.068142394954978,,0.0,18,5,30.189213002940356,-97.65983603303977
2025-12-04,51.20161865234379,100.0,165.54000091552734,15.030874478687505,,0.0,18,5,30.189213002940356,-97.65983603303977
2025-12-05,58.91440551757817,93.0,299.7599983215332,7.524849570412641,,0.0,18,5,30.189213002940356,-97.65983603303977
2025-12-06,72.40808837890629,0.6,380.3799964904785,6.301624974176408,,0.0,18,5,30.189213002940356,-97.65983603303977
2025-12-07,66.65564697265629,26.8,353.2199989318848,18.379179734644225,,0.0,18,5,30.189213002940356,-97.65983603303977
2025-12-08,56.18281982421879,1.0,394.1600051879883,8.554023367963008,,0.0,18,5,30.189213002940356,-97.65983603303977
2025-12-09,66.68300292968755,0.0,394.41999969482424,12.068510360483971,,0.0,18,5,30.189213002940356,-97.65983603303977
2025-12-10,69.97983520507816,0.0,383.3800018310547,19.39328456367081,,0.0,18,5,30.189213002940356,-97.65983603303977
2025-12-11,68.96239135742192,0.0,392.07999114990236,7.235177902006112,,0.0,18,5,30.189213002940356,-97.65983603303977
2025-12-12,72.46356933593754,33.4,231.13999633789064,5.108891868549091,,0.0,18,5,30.189213002940356,-97.65983603303977
2025-12-13,72.66209228515629,46.0,226.26000289916993,4.5208795829722215,,0.0,18,5,30.189213002940356,-97.65983603303977
2025-12-14,53.86909912109379,100.0,96.08000202178955,16.324284744033413,,0.0,18,5,30.189213002940356,-97.65983603303977
2025-12-15,54.698072509765666,99.8,375.9800003051758,2.761746523626909,,0.0,18,5,30.189213002940356,-97.65983603303977
2025-12-16,61.40132568359379,100.0,127.85999870300293,9.994888055950318,,0.0,18,5,30.189213002940356,-97.65983603303977
2025-12-17,62.64420898437504,93.4,40.83999938964844,1.318036350156213,,0.0,18,5,30.189213002940356,-97.65983603303977
2025-12-18,74.20424316406255,0.0,388.4999938964844,14.673737460904153,,0.0,17,5,30.189213002940356,-97.65983603303977
2025-12-19,68.94904296875004,0.0,396.15999298095704,9.865726235956332,,0.0,18,5,30.189213002940356,-97.65983603303977
2025-12-20,75.03052490234379,4.4,375.55999450683595,15.521503939776347,,0.0,18,5,30.189213002940356,-97.65983603303977
2025-12-21,68.23668945312504,6.8,370.759992980957,8.652268251993293,,0.0,18,5,30.189213002940356,-97.65983603303977
2025-12-22,72.4524731445313,61.0,156.2599998474121,3.0156460571304797,,0.0,18,4,30.189213002940356,-97.65983603303977
2025-12-23,80.47095458984379,21.2,359.25999908447267,10.793673769300312,,0.0,17,5,30.189213002940356,-97.65983603303977
2025-12-24,76.86930664062504,77.6,221.28000183105468,5.7771407354636874,,0.0,18,5,30.189213002940356,-97.65983603303977
2025-12-25,77.98024414062505,52.2,253.56000213623048,11.249408593885217,,0.0,18,5,30.189213002940356,-97.65983603303977
2025-12-26,80.42074707031254,85.6,350.0199966430664,10.432675583704006,,0.0,18,5,30.189213002940356,-97.65983603303977
2025-12-27,80.81229980468754,35.6,366.3999984741211,13.044729646866255,,0.0,18,5,30.189213002940356,-97.65983603303977
2025-12-28,78.20925415039066,96.2,234.51999893188477,7.333122804980218,,0.0,18,5,30.189213002940356,-97.65983603303977
2025-12-29,46.73166625976567,100.0,68.55999984741212,15.452752918470182,,0.0,18,5,30.189213002940356,-97.65983603303977
2025-12-30,56.69818847656254,0.0,431.40000610351564,7.894432394079848,,0.0,18,5,30.189213002940356,-97.65983603303977
2025-12-31,69.05176513671879,19.8,420.7800018310547,5.279212923095375,,0.0,18,5,30.189213002940356,-97.65983603303977
