date,temp_early_morning
2025-03-18,50.0
2025-03-19,45.0
2025-03-20,34.0
2025-03-21,44.0
2025-03-22,39.0
2025-03-23,43.0
2025-03-24,34.0
2025-03-25,43.0
2025-03-26,40.0
2025-03-27,49.0
2025-03-28,59.0
2025-03-29,66.0
2025-03-30,65.0
2025-03-31,35.0
2025-04-01,39.0
2025-04-02,43.0
2025-04-03,48.0
2025-04-04,48.0
2025-04-05,45.0
2025-04-06,44.0
2025-04-07,43.0
2025-04-08,32.0
2025-04-09,41.0
2025-04-10,41.0
2025-04-11,47.0
2025-04-12,52.0
2025-04-13,57.0
2025-04-14,60.0
2025-04-15,43.0
2025-04-16,43.0
2025-04-17,58.0
2025-04-18,69.0
2025-04-19,45.0
2025-04-20,51.0
2025-04-21,48.0
2025-04-22,57.0
2025-04-23,64.0
2025-04-24,65.0
2025-04-25,57.0
2025-04-26,49.0
2025-04-27,55.0
2025-04-28,66.0
2025-04-29,68.0
2025-04-30,57.0
2025-05-01,56.0
2025-05-02,48.0
2025-05-03,51.0
2025-05-04,52.0
2025-05-05,52.0
2025-05-06,63.0
2025-05-07,70.0
2025-05-08,53.0
2025-05-09,54.0
2025-05-10,73.0
2025-05-11,60.0
2025-05-12,72.0
2025-05-13,72.0
2025-05-14,70.0
2025-05-15,79.0
2025-05-16,78.0
2025-05-17,58.0
2025-05-18,59.0
2025-05-19,45.0
2025-05-20,51.0
2025-05-21,49.0
2025-05-22,53.0
2025-05-23,55.0
2025-05-24,59.0
2025-05-25,54.0
2025-05-26,59.0
2025-05-27,63.0
2025-05-28,55.0
2025-05-29,62.0
2025-05-30,69.0
2025-05-31,59.0
2025-06-01,63.0
2025-06-02,70.0
2025-06-03,79.0
2025-06-04,59.0
2025-06-05,66.0
2025-06-06,72.0
2025-06-07,72.0
2025-06-08,71.0
2025-06-09,65.0
2025-06-10,67.0
2025-06-11,78.0
2025-06-12,77.0
2025-06-13,65.0
2025-06-14,65.0
2025-06-15,74.0
2025-06-16,78.0
2025-06-17,83.0
2025-06-18,76.0
2025-06-19,74.0
2025-06-20,74.0
2025-06-21,85.0
2025-06-22,86.0
2025-06-23,87.0
2025-06-24,90.0
2025-06-25,75.0
2025-06-26,88.0
2025-06-27,84.0
2025-06-28,77.0
2025-06-29,85.0
2025-06-30,82.0
2025-07-01,80.0
2025-07-02,83.0
2025-07-03,87.0
2025-07-04,74.0
2025-07-05,87.0
2025-07-06,81.0
2025-07-07,74.0
2025-07-08,81.0
2025-07-09,81.0
2025-07-10,79.0
2025-07-11,77.0
2025-07-12,76.0
2025-07-13,78.0
2025-07-14,79.0
2025-07-15,83.0
2025-07-16,83.0
2025-07-17,71.0
2025-07-18,71.0
2025-07-19,76.0
2025-07-20,69.0
2025-07-21,76.0
2025-07-22,79.0
2025-07-23,82.0
2025-07-24,85.0
2025-07-25,81.0
2025-07-26,77.0
2025-07-27,83.0
2025-07-28,82.0
2025-07-29,85.0
2025-07-30,78.0
2025-07-31,71.0
2025-08-01,73.0
2025-08-02,74.0
2025-08-03,74.0
2025-08-04,75.0
2025-08-05,77.0
2025-08-06,80.0
2025-08-07,84.0
2025-08-08,86.0
2025-08-09,85.0
2025-08-10,84.0
2025-08-11,80.0
2025-08-12,77.0
2025-08-13,79.0
2025-08-14,77.0
2025-08-15,82.0
2025-08-16,83.0
2025-08-17,77.0
2025-08-18,74.0
2025-08-19,76.0
2025-08-20,73.0
2025-08-21,72.0
2025-08-22,74.0
2025-08-23,76.0
2025-08-24,68.0
2025-08-25,62.0
2025-08-26,65.0
2025-08-27,69.0
2025-08-28,68.0
2025-08-29,66.0
2025-08-30,67.0
2025-08-31,68.0
2025-09-01,71.0
2025-09-02,72.0
2025-09-03,68.0
2025-09-04,57.0
2025-09-05,61.0
2025-09-06,58.0
2025-09-07,58.0
2025-09-08,63.0
2025-09-09,66.0
2025-09-10,73.0
2025-09-11,72.0
2025-09-12,73.0
2025-09-13,65.0
2025-09-14,73.0
2025-09-15,75.0
2025-09-16,75.0
2025-09-17,74.0
2025-09-18,76.0
2025-09-19,79.0
2025-09-20,73.0
2025-09-21,71.0
2025-09-22,74.0
2025-09-23,68.0
2025-09-24,69.0
2025-09-25,66.0
2025-09-26,70.0
2025-09-27,74.0
2025-09-28,73.0
2025-09-29,76.0
2025-09-30,76.0
2025-10-01,71.0
2025-10-02,68.0
2025-10-03,75.0
2025-10-04,76.0
2025-10-05,75.0
2025-10-06,75.0
2025-10-07,57.0
2025-10-08,59.0
2025-10-09,56.0
2025-10-10,59.0
2025-10-11,61.0
2025-10-12,59.0
2025-10-13,61.0
2025-10-14,63.0
2025-10-15,56.0
2025-10-16,61.0
2025-10-17,62.0
2025-10-18,67.0
2025-10-19,49.0
2025-10-20,54.0
2025-10-21,50.0
2025-10-22,48.0
2025-10-23,44.0
2025-10-24,45.0
2025-10-25,47.0
