date,hrrr_tmax,peak_cloud_cover,peak_solar_flux,peak_wind_speed,snow_depth,n_hours_fetched,n_peak_hours,grid_lat,grid_lon
2021-01-01,79.98206298828129,13.6,414.1999908447266,13.23850475463926,0.0,18,5,25.787550744138507,-80.28396656630002
2021-01-02,79.30211914062504,100.0,377.90000305175784,12.476411592576422,0.0,18,5,25.787550744138507,-80.28396656630002
2021-01-03,83.03840454101567,73.0,379.46000213623046,9.593366525712712,0.0,18,5,25.787550744138507,-80.28396656630002
2021-01-04,71.5691723632813,100.0,304.4600006103516,7.1580028005375285,0.0,18,5,25.787550744138507,-80.28396656630002
2021-01-05,72.73141601562504,0.0,475.3800048828125,8.896159293651651,0.0,18,5,25.787550744138507,-80.28396656630002
2021-01-06,72.54267089843754,0.4,475.360009765625,1.266178872770016,0.0,18,5,25.787550744138507,-80.28396656630002
2021-01-07,75.55050781250004,55.4,365.9800003051758,9.774218241757954,0.0,18,5,25.787550744138507,-80.28396656630002
2021-01-08,77.14704101562504,22.8,428.2800003051758,16.56116320670548,0.0,18,5,25.787550744138507,-80.28396656630002
2021-01-09,61.18011596679692,41.8,324.97999420166013,10.565114531450938,0.0,18,5,25.787550744138507,-80.28396656630002
2021-01-10,64.61933105468754,96.8,340.62000274658203,5.8057650332057245,0.0,18,5,25.787550744138507,-80.28396656630002
2021-01-11,75.36895874023442,92.6,244.27999725341797,6.171767615295764,0.0,18,5,25.787550744138507,-80.28396656630002
2021-01-12,79.56040771484379,100.0,232.37999877929687,4.937143738228541,0.0,18,5,25.787550744138507,-80.28396656630002
2021-01-13,77.65664184570316,82.0,330.85999965667725,2.0595403476232326,0.0,18,5,25.787550744138507,-80.28396656630002
2021-01-14,63.381501464843794,85.2,221.43999786376952,7.003642879592614,0.0,18,5,25.787550744138507,-80.28396656630002
2021-01-15,73.20954101562504,100.0,259.1599937438965,6.181301360447251,0.0,18,5,25.787550744138507,-80.28396656630002
2021-01-16,71.73314331054692,30.0,422.6999877929687,14.375590932013765,0.0,17,5,25.787550744138507,-80.28396656630002
2021-01-17,64.93831909179691,100.0,170.9800033569336,5.653600987223185,0.0,18,5,25.787550744138507,-80.28396656630002
2021-01-18,71.69298828125004,100.0,327.64000549316404,5.508971829776035,0.0,18,5,25.787550744138507,-80.28396656630002
2021-01-19,73.53786743164066,3.0,506.59999389648436,8.722946341259348,0.0,18,5,25.787550744138507,-80.28396656630002
2021-01-20,75.3429760742188,30.4,474.3400054931641,10.810334398309877,0.0,18,5,25.787550744138507,-80.28396656630002
2021-01-21,75.50216796875004,99.6,467.8799987792969,7.735227940020223,0.0,18,5,25.787550744138507,-80.28396656630002
2021-01-22,77.07963989257817,22.0,468.1199920654297,9.515863409698678,0.0,18,5,25.787550744138507,-80.28396656630002
2021-01-23,79.26707275390629,22.0,480.0799896240234,6.351380552986707,0.0,18,5,25.787550744138507,-80.28396656630002
2021-01-24,78.90073364257816,34.2,435.0799987792969,7.122498438289388,0.0,18,5,25.787550744138507,-80.28396656630002
2021-01-25,77.87334716796879,93.6,425.1000030517578,12.00001305399897,0.0,18,5,25.787550744138507,-80.28396656630002
2021-01-26,80.52874267578129,9.2,484.00001220703126,10.559043105957482,0.0,18,5,25.787550744138507,-80.28396656630002
2021-01-27,84.51425292968754,57.8,435.9199981689453,6.894080767279961,0.0,18,5,25.787550744138507,-80.28396656630002
2021-01-28,76.3904125976563,0.8,541.3400024414062,14.90278121143499,0.0,18,5,25.787550744138507,-80.28396656630002
2021-01-29,72.47279785156255,62.6,443.1600006103516,8.808738246979575,0.0,18,5,25.787550744138507,-80.28396656630002
2021-01-30,71.8899731445313,55.4,269.01999816894534,8.861142099129424,0.0,18,5,25.787550744138507,-80.28396656630002
2021-01-31,77.13111083984379,100.0,294.8400032043457,10.971219579868201,0.0,18,5,25.787550744138507,-80.28396656630002
