date,hrrr_tmax,peak_cloud_cover,peak_solar_flux,peak_wind_speed,soil_moisture,snow_depth,n_hours_fetched,n_peak_hours,grid_lat,grid_lon
2026-02-01,49.61695068359379,1.4,576.0200012207031,,,0.0,18,5,25.787550744138507,-80.28396656630002
2026-02-02,58.42864501953129,0.0,584.6999877929687,,,0.0,18,5,25.787550744138507,-80.28396656630002
2026-02-03,62.704743652343794,100.0,143.70000190734862,,,0.0,18,5,25.787550744138507,-80.28396656630002
2026-02-04,73.74182861328129,31.4,431.8400054931641,,,0.0,18,5,25.787550744138507,-80.28396656630002
2026-02-05,76.64837158203129,100.0,83.64000091552734,,,0.0,18,4,25.787550744138507,-80.28396656630002
2026-02-06,66.3620922851563,0.2,578.3000030517578,,,0.0,16,5,25.787550744138507,-80.28396656630002
2026-02-07,77.60352294921879,6.8,556.7000030517578,,,0.0,18,5,25.787550744138507,-80.28396656630002
2026-02-08,72.63534057617191,16.2,476.9200012207031,,,0.0,18,5,25.787550744138507,-80.28396656630002
2026-02-09,73.2043774414063,17.0,540.1800048828125,,,0.0,18,5,25.787550744138507,-80.28396656630002
2026-02-10,74.53163574218755,4.0,553.6799987792969,,,0.0,18,5,25.787550744138507,-80.28396656630002
2026-02-11,75.94162109375004,83.0,461.64000701904297,,,0.0,18,5,25.787550744138507,-80.28396656630002
2026-02-12,80.90513427734379,35.8,515.560009765625,,,0.0,18,5,25.787550744138507,-80.28396656630002
2026-02-13,80.6245434570313,36.6,463.5,,,0.0,18,5,25.787550744138507,-80.28396656630002
2026-02-14,77.35644042968754,13.6,529.4399963378906,,,0.0,18,5,25.787550744138507,-80.28396656630002
2026-02-15,79.13578613281254,34.2,462.2999969482422,,,0.0,18,5,25.787550744138507,-80.28396656630002
2026-02-16,83.61546142578129,21.8,458.25999755859374,,,0.0,18,5,25.787550744138507,-80.28396656630002
2026-02-17,78.25666015625004,16.0,497.2799957275391,,,0.0,18,5,25.787550744138507,-80.28396656630002
2026-02-18,78.81674316406254,13.8,538.9800018310547,,,0.0,18,5,25.787550744138507,-80.28396656630002
2026-02-19,80.84778564453129,10.4,568.2400054931641,,,0.0,18,5,25.787550744138507,-80.28396656630002
2026-02-20,81.02494018554691,3.2,605.3399932861328,,,0.0,18,5,25.787550744138507,-80.28396656630002
2026-02-21,81.71757324218754,33.0,593.1599914550782,,,0.0,18,5,25.787550744138507,-80.28396656630002
2026-02-22,85.72071655273442,96.4,325.4400043487549,,,0.0,18,5,25.787550744138507,-80.28396656630002
2026-02-23,64.10390747070316,0.0,662.7400085449219,,,0.0,18,5,25.787550744138507,-80.28396656630002
2026-02-24,66.47184570312504,0.0,664.2799987792969,,,0.0,18,5,25.787550744138507,-80.28396656630002
2026-02-25,71.84547851562505,7.0,623.4800048828125,,,0.0,18,5,25.787550744138507,-80.28396656630002
2026-02-26,77.16857421875004,71.4,262.0599998474121,,,0.0,17,5,25.787550744138507,-80.28396656630002
2026-02-27,80.79257934570316,8.6,600.5000091552735,,,0.0,18,5,25.787550744138507,-80.28396656630002
2026-02-28,87.37696044921879,14.8,565.2200012207031,,,0.0,18,5,25.787550744138507,-80.28396656630002
