date,hrrr_tmax,peak_cloud_cover,peak_solar_flux,peak_wind_speed,snow_depth,n_hours_fetched,n_peak_hours,grid_lat,grid_lon
2024-12-01,56.100312500000044,27.6,236.15999755859374,3.937730622744927,0.0,18,5,37.63346023880825,-122.36673649333599
2024-12-02,58.37893188476566,0.0,244.9800018310547,6.215594404675761,0.0,18,5,37.63346023880825,-122.36673649333599
2024-12-03,58.22825439453129,1.0,243.7,4.050966494059639,0.0,18,5,37.63346023880825,-122.36673649333599
2024-12-04,57.77111328125004,0.6,245.0000015258789,5.108015638825537,0.0,17,5,37.63346023880825,-122.36673649333599
2024-12-05,56.94730346679692,2.0,243.38000030517577,3.957428372209391,0.0,18,5,37.63346023880825,-122.36673649333599
2024-12-06,57.330067138671915,3.0,249.1,3.9997357304249896,0.0,18,5,37.63346023880825,-122.36673649333599
2024-12-07,56.942414550781294,100.0,211.0800003051758,4.414938361418521,0.0,18,5,37.63346023880825,-122.36673649333599
2024-12-08,57.47184570312504,19.4,249.54000091552734,3.4867348409523458,0.0,18,5,37.63346023880825,-122.36673649333599
2024-12-09,56.87056396484379,0.0,258.88000640869143,1.3112166069307798,0.0,18,5,37.63346023880825,-122.36673649333599
2024-12-10,55.14856689453129,100.0,233.79999847412108,5.647301231519729,0.0,18,5,37.63346023880825,-122.36673649333599
2024-12-11,55.362580566406294,61.2,243.63999938964844,6.212558438416039,0.0,18,5,37.63346023880825,-122.36673649333599
2024-12-12,54.43577392578129,100.0,75.67999839782715,16.042305231621906,0.0,18,5,37.63346023880825,-122.36673649333599
2024-12-13,54.58354003906254,100.0,56.140001487731936,10.693306675005383,0.0,18,5,37.63346023880825,-122.36673649333599
2024-12-14,55.26623046875004,100.0,203.17999725341798,10.370581895899194,0.0,18,5,37.63346023880825,-122.36673649333599
2024-12-15,53.24364746093754,97.6,229.97999725341796,1.8053232429274477,0.0,16,5,37.63346023880825,-122.36673649333599
2024-12-16,53.89090698242192,100.0,20.880000019073485,9.074612797606354,0.0,18,5,37.63346023880825,-122.36673649333599
2024-12-17,54.40149658203129,25.0,246.17999877929688,1.87290088490493,0.0,18,5,37.63346023880825,-122.36673649333599
2024-12-18,54.016041259765665,91.2,236.75999603271484,6.419034126695507,0.0,18,5,37.63346023880825,-122.36673649333599
2024-12-19,53.82658203125004,35.0,244.9800064086914,2.917118346026453,0.0,18,5,37.63346023880825,-122.36673649333599
2024-12-20,53.64387939453129,100.0,177.32000274658202,5.484819050666099,0.0,18,5,37.63346023880825,-122.36673649333599
2024-12-21,54.45829589843754,100.0,15.680000305175781,2.971083839949441,0.0,18,5,37.63346023880825,-122.36673649333599
2024-12-22,55.14126098632816,100.0,110.38000030517578,4.334878391747074,0.0,18,5,37.63346023880825,-122.36673649333599
2024-12-23,56.395130615234415,100.0,171.26000518798827,3.5711490097327556,0.0,18,5,37.63346023880825,-122.36673649333599
2024-12-24,55.804780273437544,7.0,255.57999572753906,12.658500106428912,0.0,18,5,37.63346023880825,-122.36673649333599
2024-12-25,53.685517578125044,82.2,222.85999908447266,4.981278861375698,0.0,18,5,37.63346023880825,-122.36673649333599
2024-12-26,55.24766357421879,90.8,198.79999847412108,4.252647818392893,0.0,18,5,37.63346023880825,-122.36673649333599
2024-12-27,55.33928955078129,100.0,225.94000091552735,6.355993469169228,0.0,18,5,37.63346023880825,-122.36673649333599
2024-12-28,55.78511474609379,100.0,102.28000030517578,4.300172110305487,0.0,18,5,37.63346023880825,-122.36673649333599
2024-12-29,55.02958496093754,57.4,206.9000015258789,7.190725176103371,0.0,18,5,37.63346023880825,-122.36673649333599
2024-12-30,53.779066162109416,100.0,249.25999755859374,3.7825370392264914,0.0,17,5,37.63346023880825,-122.36673649333599
2024-12-31,53.38987548828129,69.6,264.86000061035156,3.5995088005597973,0.0,18,5,37.63346023880825,-122.36673649333599
