date,hrrr_tmax,peak_cloud_cover,peak_solar_flux,peak_wind_speed,soil_moisture,snow_depth,n_hours_fetched,n_peak_hours,grid_lat,grid_lon
2024-07-01,74.34794433593754,100.0,826.2,,,0.0,18,5,41.979677729815016,-87.88952508688783
2024-07-02,87.07796752929691,53.4,590.2,,,0.0,18,5,41.979677729815016,-87.88952508688783
2024-07-03,90.07212646484379,40.0,800.8,,,0.0,18,5,41.979677729815016,-87.88952508688783
2024-07-04,85.10487792968755,100.0,217.0,,,0.0,18,5,41.979677729815016,-87.88952508688783
2024-07-05,83.34250610351566,50.0,636.8,,,0.0,18,5,41.979677729815016,-87.88952508688783
2024-07-06,79.63824584960942,14.4,770.8,,,0.0,18,5,41.979677729815016,-87.88952508688783
2024-07-07,85.07494018554692,90.4,262.2,,,0.0,18,5,41.979677729815016,-87.88952508688783
2024-07-08,85.78762329101566,100.0,399.2,,,0.0,18,5,41.979677729815016,-87.88952508688783
2024-07-09,86.42587402343754,100.0,354.6,,,0.0,18,5,41.979677729815016,-87.88952508688783
2024-07-10,76.53416870117192,3.6,794.4,,,0.0,18,5,41.979677729815016,-87.88952508688783
2024-07-11,76.14404418945317,75.2,366.0,,,0.0,18,5,41.979677729815016,-87.88952508688783
2024-07-12,85.36052978515629,6.6,778.9599975585937,,,0.0,18,5,41.979677729815016,-87.88952508688783
2024-07-13,91.6785473632813,27.2,685.9400024414062,,,0.0,18,5,41.979677729815016,-87.88952508688783
2024-07-14,89.87217529296879,26.6,746.2,,,0.0,18,5,41.979677729815016,-87.88952508688783
2024-07-15,89.32923095703129,68.8,752.3200012207031,,,0.0,18,5,41.979677729815016,-87.88952508688783
2024-07-16,82.7295239257813,58.2,688.1599975585938,,,0.0,18,5,41.979677729815016,-87.88952508688783
2024-07-17,79.45065429687504,0.6,809.2800048828125,,,0.0,18,5,41.979677729815016,-87.88952508688783
2024-07-18,74.63018310546879,0.0,814.2,,,0.0,18,5,41.979677729815016,-87.88952508688783
2024-07-19,80.89672973632817,39.6,713.6,,,0.0,18,5,41.979677729815016,-87.88952508688783
2024-07-20,82.2687573242188,100.0,621.0200012207031,,,0.0,18,5,41.979677729815016,-87.88952508688783
2024-07-21,82.52715576171879,100.0,442.0,,,0.0,18,5,41.979677729815016,-87.88952508688783
2024-07-22,82.99445922851567,33.6,725.3199951171875,,,0.0,18,5,41.979677729815016,-87.88952508688783
2024-07-23,85.37091186523442,79.8,370.05999755859375,,,0.0,18,5,41.979677729815016,-87.88952508688783
2024-07-24,78.52796752929692,35.8,585.6599975585938,,,0.0,18,5,41.979677729815016,-87.88952508688783
2024-07-25,78.89370239257816,14.4,772.3400024414062,,,0.0,18,5,41.979677729815016,-87.88952508688783
2024-07-26,81.81650512695316,0.0,752.3500061035156,,,0.0,18,5,41.979677729815016,-87.88952508688783
2024-07-27,88.36721313476566,0.0,787.2199951171875,,,0.0,18,5,41.979677729815016,-87.88952508688783
2024-07-28,80.53698242187504,100.0,320.6200012207031,,,0.0,18,5,41.979677729815016,-87.88952508688783
2024-07-29,78.61596801757817,100.0,120.47999877929688,,,0.0,18,5,41.979677729815016,-87.88952508688783
2024-07-30,92.16831787109379,61.0,727.0799987792968,,,0.0,18,5,41.979677729815016,-87.88952508688783
2024-07-31,94.3124096679688,13.2,715.1200012207031,,,0.0,18,5,41.979677729815016,-87.88952508688783
