date,hrrr_tmax,peak_cloud_cover,peak_solar_flux,peak_wind_speed,soil_moisture,snow_depth,n_hours_fetched,n_peak_hours,grid_lat,grid_lon
2022-11-01,68.01048095703129,99.2,203.1199981689453,,,0.0,18,5,29.63199723015799,-95.26540134464732
2022-11-02,72.31239746093755,86.4,241.27999725341795,,,0.0,18,5,29.63199723015799,-95.26540134464732
2022-11-03,83.4623120117188,32.2,396.9000061035157,,,0.0,18,5,29.63199723015799,-95.26540134464732
2022-11-04,81.89324462890629,100.0,288.66000175476074,,,0.0,18,5,29.63199723015799,-95.26540134464732
2022-11-05,70.84000976562504,7.8,528.3199890136718,,,0.0,18,5,29.63199723015799,-95.26540134464732
2022-11-06,85.09284790039067,42.4,315.64000396728517,,,0.0,18,5,29.63199723015799,-95.26540134464732
2022-11-07,84.35665405273441,2.8,394.6599960327149,,,0.0,18,5,29.63199723015799,-95.26540134464732
2022-11-08,84.32177246093754,37.6,389.4400039672852,,,0.0,18,5,29.63199723015799,-95.26540134464732
2022-11-09,83.72257812500004,29.0,330.639998626709,,,0.0,18,5,29.63199723015799,-95.26540134464732
2022-11-10,83.13206298828129,28.8,281.6800003051758,,,0.0,18,5,29.63199723015799,-95.26540134464732
2022-11-11,84.77369506835942,64.6,227.60000133514404,,,0.0,18,5,29.63199723015799,-95.26540134464733
2022-11-12,56.63303955078129,2.25,404.5599990844727,,,0.0,18,4,29.63199723015799,-95.26540134464732
2022-11-13,56.71708496093754,79.4,406.5800056457519,,,0.0,18,5,29.63199723015799,-95.26540134464732
2022-11-14,65.87940795898442,98.6,103.84000015258788,,,0.0,18,5,29.63199723015799,-95.26540134464732
2022-11-15,48.49184082031254,98.4,191.20000381469723,,,0.0,18,5,29.63199723015799,-95.26540134464732
2022-11-16,53.12345703125004,100.0,343.83999862670896,,,0.0,18,5,29.63199723015799,-95.26540134464732
2022-11-17,58.94187133789067,5.4,373.1600051879883,,,0.0,18,5,29.63199723015799,-95.26540134464732
2022-11-18,54.36820800781254,100.0,71.62000064849853,,,0.0,18,5,29.63199723015799,-95.26540134464732
2022-11-19,48.88130615234379,100.0,57.0,,,0.0,18,5,29.63199723015799,-95.26540134464732
2022-11-20,51.66485717773442,51.2,241.0000030517578,,,0.0,18,5,29.63199723015799,-95.26540134464732
2022-11-21,47.22747924804692,100.0,23.540000247955323,,,0.0,18,5,29.63199723015799,-95.26540134464732
2022-11-22,53.83927124023442,64.8,217.53999938964844,,,0.0,18,5,29.63199723015799,-95.26540134464732
2022-11-23,62.49737670898442,88.4,179.94000320434571,,,0.0,18,5,29.63199723015799,-95.26540134464732
2022-11-24,71.96660278320317,100.0,41.460001063346866,,,0.0,18,5,29.63199723015799,-95.26540134464732
2022-11-25,62.64607666015629,100.0,39.85999975204468,,,0.0,18,5,29.63199723015799,-95.26540134464732
2022-11-26,62.24156005859379,22.8,324.2199966430664,,,0.0,18,5,29.63199723015799,-95.26540134464732
2022-11-27,67.49994628906254,5.8,362.4400039672852,,,0.0,18,5,29.63199723015799,-95.26540134464732
2022-11-28,72.5919995117188,1.2,378.1400077819824,,,0.0,18,5,29.63199723015799,-95.26540134464732
2022-11-29,79.23938720703129,56.0,208.4599981307983,,,0.0,18,5,29.63199723015799,-95.26540134464732
2022-11-30,59.38022583007817,6.8,356.4600036621094,,,0.0,18,5,29.63199723015799,-95.26540134464732
