date,hrrr_tmax,peak_cloud_cover,peak_solar_flux,peak_wind_speed,soil_moisture,snow_depth,n_hours_fetched,n_peak_hours,grid_lat,grid_lon
2023-10-01,92.58887451171879,100.0,616.760009765625,,,0.0,18,5,32.83894247396135,-96.86639231943451
2023-10-02,92.36222656250004,28.8,644.7000061035156,,,0.0,18,5,32.83894247396135,-96.86639231943451
2023-10-03,90.94746215820317,4.2,652.7800109863281,,,0.0,18,5,32.83894247396135,-96.86639231943451
2023-10-04,91.05479858398442,100.0,303.4200042724609,,,0.0,18,5,32.83894247396135,-96.86639231943451
2023-10-05,77.15802734375004,54.2,372.1600072860718,,,0.0,18,5,32.83894247396135,-96.86639231943451
2023-10-06,81.46659057617191,0.0,648.8400024414062,,,0.0,18,5,32.83894247396135,-96.86639231943451
2023-10-07,71.09181640625005,0.0,673.1799987792969,,,0.0,18,5,32.83894247396135,-96.86639231943451
2023-10-08,76.34289672851567,0.0,649.4400024414062,,,0.0,18,5,32.83894247396135,-96.86639231943451
2023-10-09,87.00661132812505,0.0,643.5599914550781,,,0.0,18,5,32.83894247396135,-96.86639231943451
2023-10-10,84.64987915039066,99.0,553.4,,,0.0,18,5,32.83894247396135,-96.86639231943451
2023-10-11,78.0972485351563,99.8,301.4200042724609,,,0.0,18,5,32.83894247396135,-96.86639231943451
2023-10-12,81.01983154296879,28.8,476.7800048828125,,,0.0,18,5,32.83894247396135,-96.86639231943451
2023-10-13,79.24674804687504,0.0,635.2599975585938,,,0.0,18,5,32.83894247396135,-96.86639231943451
2023-10-14,67.63375976562504,1.2,587.9200073242188,,,0.0,18,5,32.83894247396135,-96.86639231943451
2023-10-15,67.08916748046879,11.6,600.5600158691407,,,0.0,18,5,32.83894247396135,-96.86639231943451
2023-10-16,64.96336791992192,3.4,630.0,,,0.0,18,5,32.83894247396135,-96.86639231943451
2023-10-17,72.09289062500004,0.0,613.0599975585938,,,0.0,18,5,32.83894247396135,-96.86639231943451
2023-10-18,79.62066772460942,23.4,595.2200012207031,,,0.0,18,5,32.83894247396135,-96.86639231943451
2023-10-19,83.0832836914063,0.0,610.0200134277344,,,0.0,17,5,32.83894247396135,-96.86639231943451
2023-10-20,89.41942871093754,0.0,589.2999877929688,,,0.0,17,5,32.83894247396135,-96.86639231943451
2023-10-21,91.74737670898442,100.0,553.8200134277344,,,0.0,18,5,32.83894247396135,-96.86639231943451
2023-10-22,86.30233276367191,100.0,306.5400054931641,,,0.0,18,5,32.83894247396135,-96.86639231943451
2023-10-23,82.55066650390629,100.0,247.22000122070312,,,0.0,18,5,32.83894247396135,-96.86639231943451
2023-10-24,84.67987182617192,100.0,217.7599983215332,,,0.0,18,5,32.83894247396135,-96.86639231943451
2023-10-25,82.13291137695316,57.6,388.52001037597654,,,0.0,18,5,32.83894247396135,-96.86639231943451
2023-10-26,79.83989990234379,42.4,356.02000122070314,,,0.0,18,5,32.83894247396135,-96.86639231943451
2023-10-27,81.98602416992192,72.2,349.84000701904296,,,0.0,18,5,32.83894247396135,-96.86639231943451
2023-10-28,66.24387939453129,100.0,163.66000213623047,,,0.0,18,5,32.83894247396135,-96.86639231943451
2023-10-29,47.788770751953166,100.0,59.34000015258789,,,0.0,18,5,32.83894247396135,-96.86639231943451
2023-10-30,44.70496337890629,15.6,555.6799987792969,,,0.0,18,5,32.83894247396135,-96.86639231943451
2023-10-31,53.00299194335942,3.6,563.2199951171875,,,0.0,18,5,32.83894247396135,-96.86639231943451
