date,hrrr_tmax,peak_cloud_cover,peak_solar_flux,peak_wind_speed,soil_moisture,snow_depth,n_hours_fetched,n_peak_hours,grid_lat,grid_lon
2021-09-01,99.35491455078129,3.2,774.2400024414062,,,0.0,18,5,32.83894247396135,-96.86639231943451
2021-09-02,97.1969799804688,0.0,766.5799926757812,,,0.0,18,5,32.83894247396135,-96.86639231943451
2021-09-03,96.62250488281254,67.4,718.8,,,0.0,18,5,32.83894247396135,-96.86639231943451
2021-09-04,98.31439941406254,69.8,682.539990234375,,,0.0,18,5,32.83894247396135,-96.86639231943451
2021-09-05,93.75490844726566,74.8,519.8,,,0.0,18,5,32.83894247396135,-96.86639231943451
2021-09-06,93.35467651367192,0.0,762.3200073242188,,,0.0,18,5,32.83894247396135,-96.86639231943451
2021-09-07,94.0559887695313,0.0,776.4400024414062,,,0.0,18,5,32.83894247396135,-96.86639231943451
2021-09-08,95.67086914062504,13.4,696.1399963378906,,,0.0,18,5,32.83894247396135,-96.86639231943451
2021-09-09,91.28452270507816,0.0,758.9799926757812,,,0.0,18,5,32.83894247396135,-96.86639231943451
2021-09-10,91.51842163085942,0.0,743.8799926757813,,,0.0,18,5,32.83894247396135,-96.86639231943451
2021-09-11,90.55239379882816,0.0,716.7200012207031,,,0.0,18,5,32.83894247396135,-96.86639231943451
2021-09-12,90.64577758789066,1.8,730.1399963378906,,,0.0,18,5,32.83894247396135,-96.86639231943451
2021-09-13,89.04660766601566,32.4,634.2000061035156,,,0.0,18,5,32.83894247396135,-96.86639231943451
2021-09-14,86.41977661132816,83.6,343.1600067138672,,,0.0,18,5,32.83894247396135,-96.86639231943451
2021-09-15,89.09571655273442,21.4,642.9800048828125,,,0.0,18,5,32.83894247396135,-96.86639231943451
2021-09-16,89.8163647460938,0.8,722.6200073242187,,,0.0,18,5,32.83894247396135,-96.86639231943451
2021-09-17,90.69878662109379,20.0,686.5599975585938,,,0.0,18,5,32.83894247396135,-96.86639231943451
2021-09-18,91.86059082031254,20.6,635.7199951171875,,,0.0,18,5,32.83894247396135,-96.86639231943451
2021-09-19,91.19866455078129,19.0,624.5799987792968,,,0.0,18,5,32.83894247396135,-96.86639231943451
2021-09-20,99.40336425781254,2.0,705.2,,,0.0,18,5,32.83894247396135,-96.86639231943451
2021-09-21,87.15619018554692,23.0,617.8199951171875,,,0.0,18,5,32.83894247396135,-96.86639231943451
2021-09-22,81.06564453125004,0.0,748.1800048828125,,,0.0,18,5,32.83894247396135,-96.86639231943451
2021-09-23,82.88717773437504,0.0,738.5400024414063,,,0.0,18,5,32.83894247396135,-96.86639231943451
2021-09-24,87.53406494140629,100.0,708.6599914550782,,,0.0,18,5,32.83894247396135,-96.86639231943451
2021-09-25,88.9137280273438,0.0,706.0600036621094,,,0.0,18,5,32.83894247396135,-96.86639231943451
2021-09-26,89.5498364257813,21.0,699.8199951171875,,,0.0,18,5,32.83894247396135,-96.86639231943451
2021-09-27,89.28891113281254,92.6,571.8200073242188,,,0.0,18,5,32.83894247396135,-96.86639231943451
2021-09-28,93.01970336914067,53.4,485.8600021362305,,,0.0,18,5,32.83894247396135,-96.86639231943451
2021-09-29,90.36793334960942,0.0,671.4800048828125,,,0.0,18,5,32.83894247396135,-96.86639231943451
2021-09-30,88.98557861328129,7.6,645.6999938964843,,,0.0,18,5,32.83894247396135,-96.86639231943451
